dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.08700000000000001,19,0.00014963457661290323,-209.75713877748618,-206.14558446020334,False
0.088,16,0.00012600806451612903,-213.19569896261044,-208.06984007515246,False
0.089,13,0.00010238155241935484,-212.10183577457127,-207.11253855453594,False
0.09,16,0.00012600806451612903,-213.46121376075345,-206.87028071375778,False
0.091,22,0.00017326108870967743,-208.8248338735786,-204.60480442228456,False
0.092,22,0.00017326108870967743,-211.97226743668242,-206.9826872980917,False
0.093,22,0.00017326108870967743,-211.31802310110007,-210.09658710872654,False
0.094,19,0.00014963457661290323,-210.9154440567991,-207.48056852472928,False
0.095,13,0.00010238155241935484,-212.52451481075892,-208.70961824514745,False
0.096,22,0.00017326108870967743,-207.97989533109944,-204.16069214339439,False
0.097,19,0.00014963457661290323,-208.26521620687205,-207.4763774185851,False
0.098,22,0.00017326108870967743,-211.7721749037233,-208.17252891229018,False
0.099,22,0.00017326108870967743,-208.52866443104787,-206.69307789023685,False
0.1,16,0.00012600806451612903,-210.0296310966404,-204.7337994753936,False
0.101,22,0.00017326108870967743,-209.5716357696082,-204.5816837383619,False
0.10200000000000001,19,0.00014963457661290323,-213.06470806287018,-208.99776513519072,False
0.10300000000000001,19,0.00014963457661290323,-210.0468287748834,-206.59687654383708,False
0.10400000000000001,18,0.00014175907258064517,-208.57122022022742,-207.8252092735616,False
0.105,16,0.00012600806451612903,-212.34563423630937,-205.80253792915477,False
0.106,21,0.00016538558467741934,-210.881761447825,-205.40651505562602,False
0.107,22,0.00017326108870967743,-213.33118539424402,-206.94579431864656,False
0.108,19,0.00014963457661290323,-209.65488659724454,-207.05108959148788,False
0.109,22,0.00017326108870967743,-210.66509233835518,-206.6901081345962,False
0.11,15,0.00011813256048387097,-210.55688316222847,-207.32253773802626,False
0.111,19,0.00014963457661290323,-210.65187932651912,-209.36655885347153,False
0.112,22,0.00017326108870967743,-212.867774296405,-209.9270913843714,False
0.113,12,9.450604838709677e-05,-214.18389873178145,-209.02229996609356,False
0.114,22,0.00017326108870967743,-209.05151664815986,-206.73578607446592,False
0.115,16,0.00012600806451612903,-211.96975830693376,-206.81521778165137,False
