dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.25,1,7.875504032258064e-06,-24.060339933122318,-60.457765411262024,False
0.251,1,7.875504032258064e-06,-24.025739811736507,-60.457777109844855,False
0.252,1,7.875504032258064e-06,-23.991309020149394,-60.457851388921775,False
0.253,1,7.875504032258064e-06,-23.956981585228956,-60.457946752372465,False
0.254,1,7.875504032258064e-06,-23.922820505816595,-60.457974827816514,False
0.255,1,7.875504032258064e-06,-23.888761806061826,-60.4579546608852,False
0.256,1,7.875504032258064e-06,-23.85486855500457,-60.457773527956405,False
0.257,1,7.875504032258064e-06,-23.82107799074887,-60.45772273505395,False
0.258,1,7.875504032258064e-06,-23.787412407587382,-60.45774392181243,False
0.259,1,7.875504032258064e-06,-23.753909943673726,-60.457408668117594,False
0.26,1,7.875504032258064e-06,-23.720501123988885,-60.45782885829478,False
0.261,1,7.875504032258064e-06,-23.687254354748788,-60.457760268721415,False
0.262,1,7.875504032258064e-06,-23.654107266505548,-60.45760116511478,False
0.263,1,7.875504032258064e-06,-23.62111472654716,-60.45761859371203,False
0.264,1,7.875504032258064e-06,-23.588214064713316,-60.457923037150714,False
0.265,1,7.875504032258064e-06,-23.555440872898934,-60.45799287210336,False
0.266,1,7.875504032258064e-06,-23.522819691164916,-60.45781766195077,False
0.267,1,7.875504032258064e-06,-23.490293736495854,-60.45781326606495,False
0.268,1,7.875504032258064e-06,-23.45791704863114,-60.45777242069977,False
0.269,1,7.875504032258064e-06,-23.42563212813993,-60.457831664903864,False
0.27,1,7.875504032258064e-06,-23.393464334240708,-60.457948563291275,False
0.271,1,7.875504032258064e-06,-23.361443553568417,-60.45791467820972,False
0.272,1,7.875504032258064e-06,-23.329515551077833,-60.45787847845912,False
0.273,1,7.875504032258064e-06,-23.297732116891655,-60.45776670059613,False
0.274,1,7.875504032258064e-06,-23.266033490176095,-60.45764947249641,False
0.275,1,7.875504032258064e-06,-23.234479095883913,-60.45776108481845,False
0.276,1,7.875504032258064e-06,-23.20300919390599,-60.457598409801136,False
0.277,1,7.875504032258064e-06,-23.17165019917336,-60.45781188209141,False
0.278,1,7.875504032258064e-06,-23.140436072680494,-60.45758486292357,False
0.279,1,7.875504032258064e-06,-23.109307883831363,-60.45760482821839,False
0.28,1,7.875504032258064e-06,-23.07831637205669,-60.457777006057626,False
0.281,1,7.875504032258064e-06,-23.04740700346327,-60.4580281115982,False
0.28200000000000003,1,7.875504032258064e-06,-23.016637116203277,-60.45796907814129,False
0.28300000000000003,1,7.875504032258064e-06,-22.98594583059139,-60.45773084614777,False
0.28400000000000003,1,7.875504032258064e-06,-22.955367098329823,-60.45779478111287,False
0.28500000000000003,1,7.875504032258064e-06,-22.92491942791294,-60.45783031880081,False
0.28600000000000003,1,7.875504032258064e-06,-22.894552088273667,-60.457938519382566,False
0.28700000000000003,1,7.875504032258064e-06,-22.8643184941307,-60.45798951906985,False
0.28800000000000003,1,7.875504032258064e-06,-22.834158419607004,-60.45791182920371,False
0.289,1,7.875504032258064e-06,-22.80413573970639,-60.457894405092986,False
0.29,1,7.875504032258064e-06,-22.77418717495231,-60.4577332542242,False
0.291,1,7.875504032258064e-06,-22.744339063425222,-60.45760699949001,False
0.292,1,7.875504032258064e-06,-22.71462023079341,-60.457512661444426,False
0.293,1,7.875504032258064e-06,-22.684973695992543,-60.45783788667833,False
0.294,1,7.875504032258064e-06,-22.65545735166247,-60.45779253005242,False
0.295,1,7.875504032258064e-06,-22.626014699013023,-60.45755524271773,False
0.296,1,7.875504032258064e-06,-22.596699508493554,-60.4576216417217,False
0.297,1,7.875504032258064e-06,-22.567452857646035,-60.45788817635199,False
0.298,1,7.875504032258064e-06,-22.538308065446067,-60.45789967156541,False
0.299,1,7.875504032258064e-06,-22.509284890019593,-60.45779245710476,False
0.3,1,7.875504032258064e-06,-22.480334983150264,-60.4578098621258,False
